Layer;Ontology;Path;Concept;Stereotype;Generalizations;Definition;Example;Relations
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Configuration Item (CI);rolemixin;CMPO:Item   ;Object whose configuration is being managed.; Artifacts, Process descriptions, Tools under Configuration Management.;1
CORE;SPO;SEON:Core Layer:SPO:Intended Software Process Definition:Intended Process Structure;Specific Project Process;;SPO:Project Process   ;;;2
CORE;EO;SEON:Core Layer:EO;Project;kind;UFO:Social Object   ;A Social Object as a temporary endeavor undertaken to create a unique product, service, or result.; A project to produce a software on demand.;1
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Process;Testing Level;2ndOT;;Levels in which testing activities are performed, such as Unit, Integration and System testing.;;2
DOMAIN;SPMO;SEON:Domain Layer:SPMO:Estimated Process;Estimated Activity;;SPO:Scheduled Activity   SPMO:Cost Estimated Activity   SPMO:Scope Estimated Activity   SPMO:Duration Estimated Activity   SPO:Project Activity   ;A Project Activity with scope, cost, duration and time estimated.;;2
CORE;HCIO;HCI-ON:Core Layer:HCIO:User;User Goal;;UFO:Goal   ;The propositional content of something the User wants to achieve (User Intention).; the goal of buying fly tickets to go on vacation.;3
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Planning;Software Project Measurement Plan;;RSMO:Software Measurement Plan   ;A Software Measurement Plan defined for a Project.; the Software Project Measurement Plan defined for the Project P.;1
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Complex Commitment;;UFO:Commitment   ;;;1
CORE;HCIO;HCI-ON:Core Layer:HCIO:Interactive Computer System;User Interface Program;;SysSwO:Program   ;Program that deals with aspects related to the User Interface.; the program responsible for the graphical user interface of the component that captures the user fingerprint to unlock a mobile phone.;3
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Environment;Testing Environment;collective;;The set of resources (Hardware and Software Resources) that are used to perform testing activities of a Project.;;3
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Social Agent;category;UFO:Agent   ;;;1
CORE;COM;SEON:Core Layer:COM:Measurement Planning;Simple Goal;;UFO:Goal   ;Goal that is not composed by others.;  Monitor the patient’s blood pressure.;0
CORE;SPO;SEON:Core Layer:SPO:Process Assets:Resources;Resource;rolemixin;UFO:Object   ;Software Product or Hardware Equipment when used by a process activity.; a Smartphone being used by a Testing activity.;1
DOMAIN;SDRO;SEON:Domain Layer:SDRO:Mental Aspects;Mental Software Design Specification;;SDRO:Software Design Proposition   ;A complex Software Design Proposition consisting in design choices about the designed system. It represents the ideas in the designer’s mind that form a detailed description of the system in terms of its structure.  Adapted from [Ralph, P., & Wand, Y. (2009)]  and  [Guarino, N. (2014)];;3
CORE;SPO;SEON:Core Layer:SPO:Standard Software Process Definition:Standard Process Structure;Standard Activity;2ndOT;SPO:Activity Universal   RSMO:Measurable Software-Related Entity   ;Action Universal representing a generic activity institutionalized as part of a Standard Process in an Organization, establishing general information such as dependence on other activities, types of artifacts created, changed and used, required software and hardware resources, adopted procedures, and roles to perform it.; Conceptual Modeling, Training Evaluation, Project Risks Planning.;12
DOMAIN;RSRO;SEON:Domain Layer:RSRO;Quality Characteristic;2ndOT;UFO:Quality Universal   ;Quality Universal denoting the types of quality characteristics expected in a software.; reliability, usability, efficiency, maintainability, portability.;3
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Social Commitment;;UFO:Commitment   UFO:Social Moment   ;;;2
DOMAIN;DPO;SEON:Domain Layer:DPO;User Interface Design;event;SPO:Performed Simple Activity   ;Activity for specifying the User Interfaces in detail.;;2
CORE;SysSwO;SEON:Core Layer:SysSwO:Program Execution;Program Copy Execution;;UFO:Event (Perdurant)   ;Program Copy Execution is an Event representing the execution of the Loaded Program Copy running in a Machine. In other words, the Program Copy Execution is the event of the physical manifestation of the dispositions (represented as the complex disposition Loaded Program Copy) that inhere in the Machine.;;9
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Process;Testing Process;event;SPO:Performed Specific Process   ;Specific Performed Process for planning and executing the dynamic testing activities for the software in development.;;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Relator Universal;;UFO:Moment Universal   ;;;0
DOMAIN;SPMO;SEON:Domain Layer:SPMO;Project Plan;subkind;SysSwO:Document   ;Document describing the planning of a Project, to be used as the basis for project management.;;1
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-B;Atomic Event;;UFO:Event (Perdurant)   ;Atomic Events are those events which have no proper parts, i.e., events which cannot be further decomposed.;;2
DOMAIN;DPO;SEON:Domain Layer:DPO;Architecture Development;event;SPO:Performed Composite Activity   SPO:Performed Simple Activity   ;Activity aiming to produce the Software Architecture and specifying its Architectural Components and Connectors.;;2
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Environment;Incident Management Tool;subkind;SysSwO:Software Product   ;Software product that manages and maintains lists of issues as needed by an organization (adapted from Wikipedia).;;0
DOMAIN;HCIDO;HCI-ON:Domain Layer:HCIDO:Design Object;Interactive HCI Design Component;;HCIDO:HCI Design Component   ;A HCI Design Component that implements Mental User Input Resulting States and is expected to be triggered or not in certain conditions after actions performed by users of the interactive system;;1
DOMAIN;GORO;SEON:Domain Layer:GORO;Atomic Task;;;An Atomic Task is a Task that is not decomposed in other tasks.;;0
CORE;SPO;SEON:Core Layer:SPO:Software Process Execution:Artifact Participation;Artifact Change;event;UFO:Change   SPO:Artifact Participation   ;Artifact Participation in which an existing Artifact is modified.; the change of the source Code as part of a Coding activity fixing a bug in it.;0
DOMAIN;QAPO;SEON:Domain Layer:QAPO;Process Evaluation;event;SPO:Performed Simple Activity   ;Activity for objectively evaluating the adherence of processes and activities to the applicable requirements.;;2
CORE;EO;SEON:Core Layer:EO:Human Resource Management;OU Assignment Type;2ndOT;;;;3
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Social Appointment;;UFO:Appointment   UFO:Social Commitment   ;;;0
CORE;SPO;SEON:Core Layer:SPO:Standard Software Process Definition:Standard Process Structure;Project Standard Process;2ndOT;SPO:Standard Process   ;A Standard Process established to be performed within a Project.; a standard Requirement Process, a standard Construction Process.;0
CORE;EO;SEON:Core Layer:EO:Human Resource Management;Business Role;2ndOT;EO:Human Resource Role   ;;;4
DOMAIN;SDRO;SEON:Domain Layer:SDRO:Mental Aspects;Software Designer;;SPO:Person Stakeholder   ;A Stakeholder that uses his or her skills to directly contribute to the creation of a specification containing design choices about the software system being designed.    Adapted from [Ralph, P., & Wand, Y. (2009)];;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Kind;;UFO:Rigid Sortal Universal   ;;;0
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Closed Appointment;;UFO:Closed Commitment   UFO:Appointment   ;;;0
DOMAIN;HCIDO;HCI-ON:Domain Layer:HCIDO:Design Object;HCI Design Component;;HCIO:User Interface Program   SDRO:Software Design Component   ;A User Interface Program that plays the role of Software Design Component and implements Mental HCI Design Components, having its own structure, appearance and behavior. It can be composed of other HCI Design Components.;;4
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Process;Test Execution;event;SPO:Performed Simple Activity   ;Simple Performed Activity for effectively executing the Test Cases, by running the Test Code and producing the Test Results.;;6
DOMAIN;HCIEO;HCI-ON:Domain Layer:HCIEO:Central View;HCI Evaluator Goal;;UFO:Goal   ;The evaluation intended outcome.; Make the web site login UI more usable and understandable.;5
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A:UFO-A Qualities;Quale;;UFO:Abstract Particular   ;;;1
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Configuration Management Plan;subkind;SysSwO:Document   ;Document describing the configuration management parameters for conducting the process, including the identified Configuration Items types, the configuration systems and the planned Baselines, Configuration Audits, and Products Deliveries.;;1
DOMAIN;HCIDO;HCI-ON:Domain Layer:HCIDO:Design Object;Mental HCI Design Component;;HCIDO:HCI Design Proposition   SDRO:Mental Software Design Component   ;A Mental Software Design Component that can be perceived or triggered by users (e.g., a text label and a button) through the user interface.;;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Rolemixin;;UFO:Anti-Rigid Mixin Universal   ;;;0
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Delegatum;;UFO:Social Relator   ;;;1
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Stakeholders;Test Case Designer;role;SPO:Stakeholder   ;Stakeholder responsible for designing test cases and analysing test results.;;3
CORE;SPO;SEON:Core Layer:SPO:Software Process Execution:Procedure Participation;Procedure Participation;event;UFO:Usage   ;The participation of a Procedure in a Performed Activity.; the adoption of an Interview Technique in a Requirements Elicitation activity.;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Mode;;UFO:Intrinsic Moment   ;;;0
CORE;SPO;SEON:Core Layer:SPO:Intended Software Process Definition:Intended Process Structure;Intended Process;mode;RSMO:Measurable Software-Related Entity   UFO:Intention   ;Intention (Internal Commitment) representing the process defined to be performed in a specific project or organizational area, considering its particularities.; Testing, Measurement, Strategic Planning intended processes.;3
CORE;EO;SEON:Core Layer:EO:Organizational Structure;Multi Formal Organization;;EO:Formal Organization   ;;;1
DOMAIN;DPO;SEON:Domain Layer:DPO;Architectural Element;subkind;;Model Element referring to an Architectural Component or Connector, and its Interfaces.;;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Anti-Rigid Mixin Universal;;UFO:Mixin Universal   ;;;0
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Planning;Software Measurement Goal Description;subkind;SysSwO:Information Item   ;Information Item that documents the description of a Software Measurement Goal.; the record of the software measurement goal Decrease defects in delivered products. ;3
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A:UFO-A Qualities;Measurement Quality Domain;;UFO:Measurement Quality Structure   ;;;0
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A:UFO-A Qualities;Simple Quality Universal;;UFO:Quality Universal   ;;;0
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Process;Test Coding;event;SPO:Performed Simple Activity   ;Simple Performed Activity for implementing the Test Cases as Code artifacts (Test Code) to be used during Test Execution.;;4
CORE;HCIO;HCI-ON:Core Layer:HCIO:User;Atomic User Participation;;HCIO:User Participation   ;Single User Participation.; user touching her finger to unlock her mobile phone by using her fingerprint, user clicking a button. ;0
DOMAIN;HCIDO;HCI-ON:Domain Layer:HCIDO:Design Object;Presentational HCI Design Component;;HCIDO:HCI Design Component   ;A HCI Design Component that implements Mental User Observable States and aims to present information that can be perceived through users’ senses;;1
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Appointment;;UFO:Commitment   ;;;2
DOMAIN;SDRO;SEON:Domain Layer:SDRO:Physical Aspects;Software Design Choice;;SysSwO:Information Item   ;Information Item describing a Mental Software Design Choice, i.e. a physical representation of design choices that can be used for communication and evaluation purposes. ; A sentence like “The system will be implemented in Java”, Further details added in a class diagram that indicates how entities or relations should be represented on the database.;4
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-B;Participation Universal;;UFO:Event Universal   ;;;2
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Artifacts;Test Script;subkind;ROoST:Test Code   ;Short program written in a programming language used to test part of the functionality of a software system. Test scripts written as a short program can either be written using a special automated functional GUI test tool or in a well-known programming language (Wikipedia).;;0
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Execution;Measurement Context;;UFO:Situation   ;Situation in which a Software Measurement Execution was performed.; an example of measurement context for a software measurement execution that obtained the measured value 0.75 for the software-related measure schedule performance index to the Project P could be: measurement performed one month after substituting two of the team members with two members less experienced.   ;1
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A:UFO-A Qualities;Rational MeaRefDimension;;UFO:Measurement Reference Dimension   ;;;0
CORE;EO;SEON:Core Layer:EO:Organizational Structure;Complex Standalone Formal Organization;;EO:Standalone Formal Organization   ;;;1
CORE;SysSwO;SEON:Core Layer:SysSwO:Program Execution;Loaded Program Copy;;UFO:Disposition   ;Loaded Program Copy is the materialization of a Program, inhering in a Computer Machine.; a copy of a program loaded in primary memory of my computer.;6
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Configuration Manager;role;SPO:Stakeholder   ;Stakeholder responsible for planning and managing the Configuration Management Process.;;5
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Techniques;White-box Testing Technique;subkind;ROoST:Testing Technique   ;Testing Technique in which the tests are derived from an examination of the structure of the code to be tested (adapted from ISO/IEC/IEEE 29119-1:2013 Software and systems engineering--Software testing--Part 1: Concepts and definitions);;0
CORE;COM;SEON:Core Layer:COM:Measurement Analysis;Analysis Result;;UFO:Social Object   ;Result produced by a Measurement Analysis. An Analysis Result characterizes a Measurable Entity and provides information related to a Measurement Goal.; the analysis of the measured values 26, 25.5 e 24, collected for the measure body mass index in kilos and meters to the measurable entity John could produce the analysis result: The patient’s body mass index decreased from an overweight to a normal weight value and the patient has now a good body mass index. This analysis result characterizes the measurable entity John and provides information to the measurement goal Check if the patient has a good body mass index.;4
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Delegation;;UFO:Material Relation   ;;;1
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Object;;UFO:Substantial   ;Non-agentive substantial individuals. Objects can be Physical or Social.;;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Physical Agent;category;UFO:Agent   ;;;2
DOMAIN;RRO;SEON:Domain Layer:RRO:Runtime Requirements;RRT Program;;SysSwO:Program   ;An RRT Program is a Program that is built intending to satisfy at least one Runtime Requirement Artifact.;;3
CORE;EO;SEON:Core Layer:EO;Organizational Team;subkind;EO:Team   ;;;1
DOMAIN;HCIDO;HCI-ON:Domain Layer:HCIDO:Design Specification;Mockup;;HCIDO:HCI Design Specification   SysSwO:Document   ;A HCI Design Specification that is a higher fidelity Document depicting how the interactive system should be presented to users, similar to screenshots of the system’s future screens.;;0
CORE;EO;SEON:Core Layer:EO:Organizational Structure;Organizational Unit;kind;EO:Organization   ;;;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Person;kind;UFO:Physical Agent   ;Same as UFO::Human Agent A human Physical Agent.; Tim Berners Lee, Dennis Ritchie, Donald Knuth.;0
CORE;HCIO;HCI-ON:Core Layer:HCIO:User;User Interpretation;;HCIO:User Participation   ;Event in which a User interprets the system output.; user interpreting a message from the mobile phone system informing that the captured fingerprint was not recognized, user sensing her smart watch vibrate, user hearing the notification sound of new message.;8
DOMAIN;RRO;SEON:Domain Layer:RRO:Runtime Requirements;Compliance Program;;RRO:RRT Program   ;Compliance Program is a RRT Program that intends to satisfy at least one Monitoring Runtime Requirement Artifact.;;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Role;;UFO:Anti-Rigid Sortal Universal   ;;;0
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A:UFO-A Qualities;Quality Region;;UFO:Abstract Particular   ;;;2
CORE;COM;SEON:Core Layer:COM:Measurement Planning;Complex Goal;;UFO:Goal   ;Goal that is composed by others.; the complex goal Monitor the patient health could be decomposed in Check if the patient has a good body mass index and Check if the patient has a good blood pressure.;1
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Process;System Testing;event;ROoST:Level-based Testing   ;Level-based Testing focusing on the behavior of the entire system, ensuring that it is in conformance with its requirements.;;0
CORE;SPO;SEON:Core Layer:SPO:Process Assets:Procedures;Composite Method Activity;2ndOT;SPO:Method Activity   UFO:Complex Action Universal   ;Method Activity composed of other Method Activities.;;1
DOMAIN;DPO;SEON:Domain Layer:DPO;Software Architecture;subkind;SysSwO:Model   ;Model describing the fundamental structures of a software, including its components, how they are connected, and its internal and external interfaces.;;4
CORE;SPO;SEON:Core Layer:SPO:Intended Software Process Definition:Intended Process Structure;Specific Intended Process;;SPO:Intended Process   ;Intended Process that is part of the General Intended Process of a Project or Organization, necessarily composed of at least two Intended Activities.; the Construction Process defined for a specific project, the Training Process defined for an organizational OO training.;3
DOMAIN;SDRO;SEON:Domain Layer:SDRO:Mental Aspects;Mental Software Design Component;;SDRO:Software Design Proposition   ;A Software Design Proposition describing parts, or components, of the software system being designed. It represents what the designer has in mind about how components of system should be implemented. Thus, these components have specific properties, play specific roles and are expected to exist in particular places in the software system. ; System modules, UI elements.  Adapted from [Guarino, N., & Melone, M. R. S. (2015)] ;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Unfulfilled;;;;;0
CORE;SysSwO;SEON:Core Layer:SysSwO:Sw Artifacts;Software Artifact;category;RSMO:Measurable Software-Related Entity   UFO:Object   ;Object intentionally made to serve a given purpose in the context of a software Project or Organization.; a document, a model, a library, an e-mail, a bug.;9
DOMAIN;SDRO;SEON:Domain Layer:SDRO:Physical Aspects;Software Design Component;;UFO:Role   SysSwO:Program   ;A Program that plays a specific role in a Software System, implementing a Mental Software Design Component.  Adapted from [Guarino, N., & Melone, M. R. S. (2015)];;4
DOMAIN;SPMO;SEON:Domain Layer:SPMO:Tracked Process;Tracked Process;;SPO:Performed Project Process   ;;;1
DOMAIN;RSRO;SEON:Domain Layer:RSRO;Requirements Stakeholder;role;SPO:Stakeholder   SPO:Person Stakeholder   ;Stakeholder that provides needs and expectations for the product.; users, operators, customers, suppliers.;8
DOMAIN;HCIDO;HCI-ON:Domain Layer:HCIDO:Design Specification;User Requirement Artifact;;RSRO:Requirement Artifact   ;Requirement Artifacts that describe User Requirements (e.g., user requirements written as user stories).;;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Proposition;;UFO:Abstract Particular   ;A Proposition is a sentence that is either true or false. The truth of a proposition is determined by its correspondence to the existence of an entity or fact in reality, the so-called truthmaker of a proposition.;;3
DOMAIN;DPO;SEON:Domain Layer:DPO;Data Definitions;subkind;SysSwO:Information Item   ;Information Item describing the high-level choices of how the software will manage data.;;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A:UFO-A Qualities;Quality Structure;;UFO:Set   UFO:Abstract Particular   ;;;6
DOMAIN;CPO;SEON:Domain Layer:CPO;Code Review;event;SPO:Performed Simple Activity   ;Simple Performed Activity executed for reviewing the software Code to identify errors and non-conformances.;;6
DOMAIN;SPMO;SEON:Domain Layer:SPMO:Estimated Process;Estimated Process;;SPMO:Duration Estimated Process   SPMO:Cost Estimated Process   SPO:Scheduled Process   SPO:Project Process   ;A Project Process with cost, duration and time estimated.;;1
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;High Order Universal;;;;;0
CORE;SPO;SEON:Core Layer:SPO:Process Assets:Resources;Software Resource;role;SysSwO:Software Product   SPO:Resource   ;Software Product when used as Resource of some process activity.; the Eclipse IDE being used by the Coding activity.;1
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurable Entities;Measurable Software-Related Entity;;COM:Measurable Entity   ;Measurable Entity related to software.; a software project,  a standard process.;2
CORE;SPO;SEON:Core Layer:SPO:Intended Software Process Definition:Intended Process Structure;Project Process;mode;SPO:Intended Process   ;Intended Process defined to be performed within a Project.; a project Requirement Process, a project Construction Process.;2
DOMAIN;HCIEO;HCI-ON:Domain Layer:HCIEO:Central View;HCI Quality Characteristic;;UFO:Quality   UFO:Measurable Quality Universal   COM:Measurable Element   ;Characteristic expected in an Interactive Computer System (in software or hardware constituents), e.g., usability (software), screen size of a smart watch (hardware), among others. It can refer to the whole Interactive Computer System or part of it (e.g., its User Interface an Input Equipment).; usability of a smart watch, communicability of an UI login. ;5
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Complex Closed Commitment;;UFO:Closed Commitment   ;;;2
DOMAIN;HCIEO;HCI-ON:Domain Layer:HCIEO:Central View;HCI Evaluation Method;;SPO:Procedure   ;A Procedure describing the actions to be performed by the HCI Evaluator to perform a HCI Evaluation.; heuristic evaluation, cognitive walkthroughs, standards inspection, pluralistic walkthroughs, usability test, consistency inspections, among others. ;5
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Process;Measurement Planning Start;event;SPO:Performed Simple Activity   ;Activity for defining the Software Measurement Plan structure, its initial information (e.g., organization to which it was defined and elaboration date) and starting its elaboration. ;;2
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Artifacts;Test Case Expected Result;subkind;SysSwO:Information Item   ;The result expected from the execution of a test case.;;3
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Process;Data Analysis;event;;Activity for analyzing the selected Measured Values and producing the Analysis Result Description that records the Analysis Result.;;2
DOMAIN;HCIDO;HCI-ON:Domain Layer:HCIDO:Design Specification;HCI Design Choice;;SDRO:Software Design Choice   ;A Software Design Choice that describes Mental HCI Design Choices. It is a physical representation of Mental HCI Design Choices, which can be used for communication and evaluation purposes (e.g., the fragment of a sketch showing the fields of a form arranged in two columns or a sentence written in a document describing the expected behavior after a form submission).;;4
DOMAIN;DPO;SEON:Domain Layer:DPO;Design Evaluation Document;subkind;SysSwO:Document   ;Document registering the issues identified in a Design Document evaluation.;;1
